MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003534,Portsmouth 011,584,Portsmouth,2,F,3.21308E-07
E02003535,Portsmouth 012,556,Portsmouth,2,F,2.2794E-06
E02003535,Portsmouth 012,555,Portsmouth,2,F,0.086151021
E02003535,Portsmouth 012,549,Portsmouth,2,F,0.067151132
E02003535,Portsmouth 012,546,Portsmouth,2,F,0.165444088
E02003535,Portsmouth 012,544,Portsmouth,2,F,3.82202E-06
E02003535,Portsmouth 012,526,Portsmouth,2,F,0.211852721
E02003535,Portsmouth 012,525,Portsmouth,2,F,0.152785132
E02003535,Portsmouth 012,524,Portsmouth,2,F,0.316609805
E02003536,Portsmouth 013,544,Portsmouth,2,F,0.103210378
E02003536,Portsmouth 013,543,Portsmouth,2,F,0.228413093
E02003536,Portsmouth 013,542,Portsmouth,2,F,1.42905E-06
E02003536,Portsmouth 013,540,Portsmouth,2,F,3.4393E-09
E02003536,Portsmouth 013,539,Portsmouth,2,F,0.000191473
E02003536,Portsmouth 013,537,Portsmouth,2,F,2.32722E-06
E02003536,Portsmouth 013,535,Portsmouth,2,F,1.73865E-05
E02003536,Portsmouth 013,534,Portsmouth,2,F,1.46978E-06
E02003536,Portsmouth 013,533,Portsmouth,2,F,0.203685531
E02003536,Portsmouth 013,532,Portsmouth,2,F,0.176544006
E02003536,Portsmouth 013,531,Portsmouth,2,F,0.127841923
E02003536,Portsmouth 013,527,Portsmouth,2,F,8.12563E-07
E02003536,Portsmouth 013,526,Portsmouth,2,F,0.098593598
E02003536,Portsmouth 013,932,Portsmouth,2,F,0.001540429
E02003536,Portsmouth 013,931,Portsmouth,2,F,4.2045E-07
E02003536,Portsmouth 013,930,Portsmouth,2,F,0.059955722
E02003537,Portsmouth 014,560,Portsmouth,2,F,0.376321218
E02003537,Portsmouth 014,559,Portsmouth,2,F,0.083436724
E02003537,Portsmouth 014,558,Portsmouth,2,F,0.174094862
E02003537,Portsmouth 014,557,Portsmouth,2,F,0.115950861
E02003537,Portsmouth 014,556,Portsmouth,2,F,0.138721402
E02003537,Portsmouth 014,555,Portsmouth,2,F,0.11147276
E02003537,Portsmouth 014,524,Portsmouth,2,F,7.95236E-07
E02003537,Portsmouth 014,523,Portsmouth,2,F,4.21487E-07
E02003537,Portsmouth 014,521,Portsmouth,2,F,3.91361E-07
E02003537,Portsmouth 014,519,Portsmouth,2,F,5.6478E-07
E02003538,Portsmouth 015,516,Portsmouth,2,F,3.21559E-07
E02003538,Portsmouth 015,557,Portsmouth,2,F,9.41037E-07
E02003538,Portsmouth 015,556,Portsmouth,2,F,3.35102E-07
E02003538,Portsmouth 015,528,Portsmouth,2,F,0.109745217
E02003538,Portsmouth 015,527,Portsmouth,2,F,0.171144041
E02003538,Portsmouth 015,526,Portsmouth,2,F,0.069126176
E02003538,Portsmouth 015,525,Portsmouth,2,F,0.089231568
E02003538,Portsmouth 015,524,Portsmouth,2,F,0.211464387
E02003538,Portsmouth 015,523,Portsmouth,2,F,0.216228064
E02003538,Portsmouth 015,522,Portsmouth,2,F,0.13305823
E02003538,Portsmouth 015,521,Portsmouth,2,F,2.74372E-07
E02003538,Portsmouth 015,520,Portsmouth,2,F,4.44639E-07
E02003539,Portsmouth 016,516,Portsmouth,2,F,5.05867E-09
E02003539,Portsmouth 016,513,Portsmouth,2,F,3.98631E-09
E02003539,Portsmouth 016,510,Portsmouth,2,F,7.22242E-08
E02003539,Portsmouth 016,509,Portsmouth,2,F,4.01286E-07
E02003539,Portsmouth 016,507,Portsmouth,2,F,2.61144E-09
E02003539,Portsmouth 016,543,Portsmouth,2,F,6.66896E-09
E02003539,Portsmouth 016,539,Portsmouth,2,F,0.421265031
E02003539,Portsmouth 016,538,Portsmouth,2,F,0.101050258
E02003539,Portsmouth 016,537,Portsmouth,2,F,0.094644599
E02003539,Portsmouth 016,536,Portsmouth,2,F,0.085703816
E02003539,Portsmouth 016,535,Portsmouth,2,F,0.057203967
E02003539,Portsmouth 016,534,Portsmouth,2,F,0.037716121
E02003539,Portsmouth 016,533,Portsmouth,2,F,0.000882977
E02003539,Portsmouth 016,531,Portsmouth,2,F,0.032795117
E02003539,Portsmouth 016,530,Portsmouth,2,F,0.06592554
E02003539,Portsmouth 016,529,Portsmouth,2,F,9.19024E-07
E02003539,Portsmouth 016,528,Portsmouth,2,F,0.05851734
E02003539,Portsmouth 016,527,Portsmouth,2,F,0.027499289
E02003539,Portsmouth 016,526,Portsmouth,2,F,1.06585E-07
E02003539,Portsmouth 016,932,Portsmouth,2,F,0.006154216
E02003539,Portsmouth 016,931,Portsmouth,2,F,0.010640211
E02003540,Portsmouth 017,518,Portsmouth,2,F,0.279931441
E02003540,Portsmouth 017,517,Portsmouth,2,F,0.070984094
E02003540,Portsmouth 017,516,Portsmouth,2,F,0.053304527
E02003540,Portsmouth 017,513,Portsmouth,2,F,1.38331E-07
E02003540,Portsmouth 017,493,Portsmouth,2,F,0.03391034
E02003540,Portsmouth 017,492,Portsmouth,2,F,7.83431E-08
E02003540,Portsmouth 017,491,Portsmouth,2,F,1.01726E-07
E02003540,Portsmouth 017,560,Portsmouth,2,F,0.215062772
E02003540,Portsmouth 017,559,Portsmouth,2,F,0.06701708
E02003540,Portsmouth 017,558,Portsmouth,2,F,1.44234E-07
E02003540,Portsmouth 017,557,Portsmouth,2,F,5.03549E-07
E02003540,Portsmouth 017,528,Portsmouth,2,F,5.32918E-07
E02003540,Portsmouth 017,523,Portsmouth,2,F,1.21845E-07
E02003540,Portsmouth 017,522,Portsmouth,2,F,5.34325E-07
E02003540,Portsmouth 017,521,Portsmouth,2,F,0.044674909
E02003540,Portsmouth 017,520,Portsmouth,2,F,0.108741177
E02003540,Portsmouth 017,519,Portsmouth,2,F,0.126371504
E02003541,Portsmouth 018,513,Portsmouth,2,F,5.04364E-07
E02003541,Portsmouth 018,512,Portsmouth,2,F,7.65021E-07
E02003541,Portsmouth 018,511,Portsmouth,2,F,0.225104025
E02003541,Portsmouth 018,510,Portsmouth,2,F,0.234743236
E02003541,Portsmouth 018,509,Portsmouth,2,F,0.126652786
E02003541,Portsmouth 018,506,Portsmouth,2,F,0.033976917
E02003541,Portsmouth 018,501,Portsmouth,2,F,0.085343585
E02003541,Portsmouth 018,500,Portsmouth,2,F,0.079270895
