District,Population,2019,2026,2031,2036,2046
15,75+,11484.519503886,13910.862633950002,14892.11459209,16369.20580203,20469.276514360005
15,HHs,38953.305060706,40916.03836972,42512.91285255,44023.29080630001,46754.62708087001
15,jobs,32382.872776298005,33493.41598658,34012.605063020004,34306.591223899995,34445.227656459996
15,workers,37405.476026928,39316.283350059995,40331.10865701,40616.45828705,41611.64017347
16,under16,15709.56578604,15402.351834449999,14658.57394663,14437.509893170001,14913.673913210003
16,16-74,67996.999794568,68456.68673714,69511.11470965,69356.0151142,67165.47443373999
16,75+,13099.338559371998,16038.1645806,17335.79198271,19213.26889906,23814.100562109998
16,HHs,43652.690800120006,45358.95226181,46732.37259301,48016.03585028,50363.50543406
16,jobs,64267.193996254,66510.11962201,67537.51894384,68122.88998460001,68394.98981717
16,workers,42300.976127414004,43526.43963072,43897.854276280006,43705.96175016,44416.16744762
11,under16,6303.518126356,6171.24232029,5929.267143970002,5867.24100402,6046.839730940001
11,16-74,23497.972050898,23344.78962863,23462.32301298,23280.78969317,22544.551735719997
11,75+,4305.644236148,5584.82587598,6058.931751329999,6664.116055910001,8027.160477259999
11,HHs,14127.061629486001,14605.508488120002,14969.419645889999,15311.1098811,15940.645898350002
11,jobs,17292.712817888,17903.60330408,18179.968041419997,18337.05956198,18410.90401472
11,workers,15968.781680266,16271.357473920001,16265.241205520002,16189.188925250002,16714.49091946
14,under16,3060.4582459579997,3020.19566352,2874.8772327000006,2832.49734757,2915.24037077
14,16-74,11455.872192781999,11642.419547180001,11836.704388520004,11841.09538859,11521.27411968
14,75+,1706.606711456,2128.1564765999997,2308.6481050400002,2547.9050942,3106.1732547300003
14,HHs,6714.4483544780005,6991.436050550001,7195.508668410001,7368.000288940002,7662.017059350001
14,jobs,9402.809721176,9717.01528885,9866.35046223,9951.512459919999,9989.29457751
14,workers,7553.6208436980005,7987.285511880001,8134.18489213,8169.1680889300005,8323.26866916
13,under16,5236.091364538,5266.807256260001,5102.70910315,5065.502358199999,5267.10796032
13,16-74,20042.364590258003,20103.9047629,20439.371556299997,20534.87678493,20183.42992862
13,75+,2776.588860152,3562.7003199000005,3822.1529309300004,4167.06627603,5072.180594619999
13,HHs,11448.814232562001,11924.568237829999,12284.811299789999,12621.508231759999,13243.561027609998
13,jobs,16027.017852304,16474.48602835,16731.40512789,16875.994782679998,16945.774761840003
13,workers,13828.862007400001,14377.94308195,14596.457010769998,14696.43692144,15330.885197029998
12,under16,10231.554140461998,9696.168232940001,9177.495451089999,9012.36410218,9176.774160869998
12,16-74,50593.226433576,49593.44498396,49472.63303123001,48748.71399883999,46029.23577453999
12,75+,13800.017841500001,17019.25161594,18210.014884569995,19569.33571298,23101.773142380003
12,HHs,33872.278156716,34439.94606106999,34914.47939493,35354.58645425,36240.80054308
12,jobs,38561.145093592,40032.58480185999,40654.79053015,41005.60246394,41172.43874056
12,workers,30207.374189496004,30996.032377329997,30948.76171084999,30634.080881899998,30884.072786169992
28,under16,19340.981207854,18500.98212329,17433.98318723,17096.98355485,17646.98312091
28,16-74,77229.73560117799,78053.93494817999,79151.93436638,79238.93453716,77511.9359535
28,75+,11740.193044872001,13795.99179459,14662.99122175,16035.990333729998,19966.98783747
28,HHs,49504.762051130005,50713.96120149,51773.96044513,52886.95963242,55154.9579451
28,jobs,59602.15323180401,61788.95226467,62747.95152283,63291.95110407,63544.95090755999
28,workers,50227.556555870004,52100.955025760006,52769.954541080006,52735.9546738,53049.95460877
18,under16,11734.644005916001,11622.981000669999,11039.17008252,10806.659730620002,11229.89033169
18,16-74,49105.045383568,50248.99021829,51774.255227480004,52452.70246782,51798.88450016
18,75+,10175.278043864,12300.134339929999,13147.882178819997,14432.79066007,18012.71904332
18,HHs,32653.889279248004,34305.95537339,35652.08041437,36923.70204156,39227.36506408
18,jobs,26980.128003642003,27885.584808620006,28316.395748720002,28561.409600209998,28677.7731714
18,workers,29151.919925262002,30749.712154939996,31633.88654296,31920.53681475,32864.35449847
19,under16,4373.238195938,4283.6520964,4077.42985298,4014.49385092,4139.32999085
19,16-74,16214.219010052002,16371.332353690002,16560.90488468,16507.00468441,16085.54498205
19,75+,2573.266405714,3173.84141903,3449.2143638800003,3839.7379856400003,4787.90773021
19,HHs,9920.521923514,10318.06095074,10637.641004700003,10937.9781104,11486.509192130003
19,jobs,9657.014564672,9967.88933792,10123.490152840002,10212.119189500001,10254.019393100001
19,workers,10498.035838444,10808.57302877,10912.158692870002,10913.05130726,11172.84614424
