District,Population,2019,2026,2031,2036,2046
23,75+,-27.59997646800366,-140.99989526000354,-289.9998138999981,-584.9995623499963,-1757.9985147700027
23,HHs,-51.59993428798043,-651.9992203400179,-1540.9981607900118,-2542.997000459989,-5061.9939441600145
23,jobs,-1694.9990680740011,-927.9994858300051,-1410.9992445000098,-2016.9989029699937,-4973.997294769972
23,workers,-1788.5979106800078,-1031.998888979957,-2112.9968811,-2503.9960762300034,-5256.992876110016
25,under16,-15.000010145999113,-207.00013946999843,-463.0003210999994,-716.0004932900001,-850.0005194399992
25,16-74,-9.600003990002733,-162.00002259999746,-394.000048969996,-626.0001046499965,-1419.0003262200007
25,75+,-13.1999979659995,-76.99998379000135,-160.99996241000008,-303.99993648000054,-887.9998411699999
25,HHs,-14.400000756002555,-201.00001315999907,-476.00003166999886,-780.0000634999997,-1529.0001580600037
25,jobs,-422.4000229919948,-232.00001310000152,-352.0000213800013,-501.0000316500009,-1235.0000859300017
25,workers,-377.4001806060005,-224.00009792000128,-358.00016683000285,-546.000206380002,-1207.0005195199992
30,under16,0.0,0.0,0.0,0.0,0.0
30,16-74,0.0,0.0,0.0,0.0,0.0
30,75+,0.0,0.0,0.0,0.0,0.0
30,HHs,0.0,0.0,0.0,0.0,0.0
30,jobs,0.0,0.0,0.0,0.0,0.0
30,workers,0.0,0.0,0.0,0.0,0.0
